id,category,name,calories,moisture,amino_acid_composition_protein,protein,triacylglycerol,cholesterol,fat,available_carbohydrates,carbohydrates,sodium,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum,vitaminA,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,vitaminB3,vitaminB6,vitaminB12,vitaminB9,vitaminB5,vitaminB7,vitaminC
45,5,ヘーゼルナッツ,701.0,1.0,11.0,13.6,69.3,0.0,69.3,9.1,13.9,35.0,610.0,130.0,160.0,320.0,3.0,2.0,1.64,5.24,0.0,1.0,1.0,6.0,0.0,0.0,18.0,4.0,0.26,0.28,1.0,0.39,0.0,54.0,1.07,82.0,0.0
46,5,ペカン,716.0,1.9,8.0,9.6,71.9,0.0,73.4,9.3,13.3,140.0,370.0,60.0,120.0,270.0,2.7,3.6,0.84,4.37,0.0,0.0,0.0,0.0,4.0,0.0,1.7,4.0,0.19,0.19,0.8,0.19,0.0,43.0,1.49,0.0,0.0
47,5,マカダミアナッツ,751.0,1.3,7.7,8.3,76.6,0.0,76.7,6.7,12.2,190.0,300.0,47.0,94.0,140.0,1.3,0.7,0.33,0.0,0.0,13.0,2.0,5.0,0.0,0.0,0.0,5.0,0.21,0.09,2.1,0.21,0.0,16.0,0.5,6.5,0.0
48,5,まつ,724.0,1.9,13.7,14.6,70.6,0.0,72.5,4.0,8.1,4.0,620.0,15.0,250.0,550.0,6.2,6.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,27.0,0.61,0.21,3.6,0.1,0.0,73.0,0.42,0.0,0.0
49,5,らっかせい,613.0,1.7,23.6,25.0,50.5,0.0,49.6,10.1,21.3,2.0,760.0,50.0,200.0,390.0,1.7,3.0,0.69,2.15,1.0,2.0,0.0,96.0,1.0,0.0,10.0,0.0,0.24,0.13,23.0,0.46,0.0,58.0,2.2,110.0,0.0
50,6,アーティチョーク,35.0,85.9,1.7,2.1,0.1,0.0,0.1,2.6,10.8,12.0,380.0,47.0,46.0,55.0,0.7,0.2,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.07,0.08,1.1,0.06,0.0,76.0,0.51,0.0,11.0
51,6,アイスプラント,5.0,96.2,0.5,0.5,0.0,0.0,0.3,0.2,1.2,380.0,260.0,18.0,11.0,24.0,0.2,0.2,0.03,0.83,4.0,0.0,0.0,28.0,100.0,0.0,0.5,73.0,0.02,0.05,0.2,0.05,0.0,24.0,0.1,0.7,9.0
52,6,あさつき,41.0,87.3,2.9,4.2,0.1,0.0,0.3,5.4,7.3,4.0,330.0,21.0,17.0,85.0,0.7,0.8,0.09,0.43,0.0,0.0,0.0,0.0,60.0,0.0,0.9,43.0,0.17,0.15,0.7,0.27,0.0,200.0,0.55,0.0,27.0
53,6,あしたば,28.0,89.5,2.1,2.9,0.0,0.0,0.1,2.1,6.6,43.0,390.0,58.0,20.0,51.0,0.5,0.3,0.13,0.92,0.0,0.0,0.0,0.0,440.0,0.0,2.7,380.0,0.07,0.16,0.8,0.1,0.0,75.0,0.45,0.0,23.0
54,6,アスパラガス,21.0,92.6,1.8,2.6,0.2,0.0,0.2,2.7,3.9,2.0,270.0,19.0,9.0,60.0,0.7,0.5,0.1,0.19,1.0,0.0,0.0,2.0,31.0,0.0,1.5,43.0,0.14,0.15,1.0,0.12,0.0,190.0,0.59,1.8,15.0
